rank,symbol,name,slug
1,BTC,Bitcoin,bitcoin
2,ETH,Ethereum,ethereum
3,XRP,XRP,xrp
4,USDT,Tether USDt,tether
5,BNB,BNB,bnb
6,SOL,Solana,solana
7,USDC,USD Coin,usd-coin
8,DOGE,Dogecoin,dogecoin
9,ADA,Cardano,cardano
10,TRX,TRON,tron
11,TON,TON Coin,toncoin
12,STETH,Lido Staked Ether,staked-ether
13,LINK,Chainlink,chainlink
14,AVAX,Avalanche,avalanche
15,WBTC,Wrapped Bitcoin,wrapped-bitcoin
16,DOT,Polkadot,polkadot
17,MATIC,Polygon,polygon
18,SHIB,Shiba Inu,shiba-inu
19,UNI,Uniswap,uniswap
20,LTC,Litecoin,litecoin